N, M, Mean, Standard-Deviation
4, 2, 59828.320000, 14060.8
4, 3, 62349.850000, 8333.49
8, 2, 8263.172000, 604.69
8, 3, 5492.458000, 438.534
8, 4, 4851.553000, 334.457
8, 5, 4481.226000, 252.863
8, 6, 4335.724000, 209.601
12, 2, 5789.690000, 513.084
12, 3, 3983.470000, 235.407
12, 4, 3637.854000, 204.406
12, 5, 3474.054000, 203.818
12, 6, 3292.386000, 211.524
12, 7, 3236.980000, 207.247
12, 8, 3175.032000, 229.205
12, 9, 2990.249000, 135.303
12, 10, 3002.813000, 162.161
16, 2, 4627.268000, 88.4255
16, 3, 2657.216000, 48.2719
16, 4, 2624.513000, 86.582
16, 5, 2501.386000, 56.5265
16, 6, 2316.446000, 34.4002
16, 7, 2006.192000, 38.1515
16, 8, 2022.681000, 83.016
16, 9, 1970.107000, 56.807
16, 10, 1926.001000, 52.8026
16, 11, 1962.778000, 64.4855
16, 12, 2280.892000, 48.2417
16, 13, 2318.273000, 76.9283
16, 14, 2348.505000, 68.022
