N, M, Mean, Standard-Deviation
4, 2, 9912.704000, 396.686
4, 3, 7593.754000, 253.355
6, 2, 9070.866000, 536.442
6, 3, 6656.860000, 236.912
6, 4, 6326.429000, 367.33
6, 5, 5891.273000, 229.059
8, 2, 9119.110000, 644.877
8, 3, 4614.394000, 169.396
8, 4, 4969.640000, 145.543
8, 5, 4834.635000, 105.282
8, 6, 4736.330000, 185.339
8, 7, 4018.688000, 125.239
12, 2, 6198.375000, 235.61
12, 3, 3539.051000, 118.398
12, 4, 4061.353000, 148.021
12, 5, 3917.647000, 178.295
12, 6, 3686.183000, 141.347
12, 7, 3460.789000, 86.0599
12, 8, 3285.673000, 119.921
12, 9, 3404.808000, 159.543
12, 10, 3267.505000, 116.683
12, 11, 3046.105000, 151.611
16, 2, 6473.663000, 195.624
16, 3, 4526.249000, 129.249
16, 4, 4104.427000, 78.3342
16, 5, 3794.828000, 81.2323
16, 6, 3400.724000, 69.3979
16, 7, 3126.250000, 50.3005
16, 8, 3035.611000, 64.9256
16, 9, 2809.866000, 52.6304
16, 10, 2784.907000, 24.4913
16, 11, 2872.692000, 60.9512
16, 12, 2999.460000, 57.115
16, 13, 3041.807000, 44.1089
16, 14, 2965.160000, 77.9161
16, 15, 2956.176000, 74.2358
20, 2, 6699.045000, 98.9842
20, 3, 4385.288000, 86.7614
20, 4, 4007.123000, 93.9047
20, 5, 3516.624000, 81.819
20, 6, 3368.747000, 93.0017
20, 7, 1404.324000, 47.618
20, 8, 816.254500, 13.4546
20, 9, 498.053200, 9.47909
20, 10, 358.832333, 14.7673
20, 11, 341.559400, 11.1895
20, 12, 460.243100, 5.38066
20, 13, 847.573900, 16.42
20, 14, 1576.103000, 26.0393
20, 15, 2076.616000, 23.776
20, 16, 2364.686000, 53.7051
20, 17, 2808.033000, 39.1722
20, 18, 2829.867000, 76.5654
20, 19, 2837.968000, 41.236
24, 2, 6719.930000, 163.795
24, 3, 4483.888000, 124.037
24, 4, 3881.474000, 109.157
24, 5, 3521.322000, 113.123
24, 6, 1106.747000, 15.6515
24, 7, 378.285300, 5.40821
24, 8, 135.637900, 5.03999
24, 9, 73.635110, 0.903026
24, 10, 44.154720, 0.738636
24, 11, 30.466580, 0.574949
24, 12, 25.056790, 0.898374
24, 13, 24.252040, 1.27865
24, 14, 29.144290, 1.06413
24, 15, 43.661170, 0.583541
24, 16, 71.132050, 0.730107
24, 17, 136.888600, 4.40384
24, 18, 288.805300, 14.427
24, 19, 768.354500, 44.3439
24, 20, 1362.163000, 66.7084
24, 21, 1826.136000, 84.4758
24, 22, 1900.058000, 56.5194
24, 23, 2191.151000, 147.027
