N, M, Mean, Standard-Deviation
4, 2, 13666.246364, 2290.94
4, 3, 6202.971000, 222.721
6, 2, 17303.270000, 154.989
6, 3, 6189.645000, 178.157
6, 4, 16662.990000, 856.652
8, 2, 14177.711111, 241.884
8, 3, 0.000000, 0
8, 4, 0.000000, 0
8, 5, 0.000000, 0
8, 6, 0.000000, 0
12, 2, 6289.478000, 220.254
12, 3, 5150.477000, 193.47
12, 4, 4714.195000, 166.777
12, 5, 5342.755000, 187.916
12, 6, 4845.797000, 110.855
12, 7, 4832.626000, 98.7093
12, 8, 4749.532000, 90.2945
12, 9, 5183.514000, 79.1241
12, 10, 5014.581000, 135.77
16, 2, 4876.049000, 76.8108
16, 3, 2928.045000, 45.0453
16, 4, 2911.775000, 94.0185
16, 5, 2977.724000, 65.9206
16, 6, 2852.713000, 46.0137
16, 7, 2977.448000, 82.8662
16, 8, 2922.948000, 83.5206
16, 9, 3229.901000, 50.57
16, 10, 3167.593000, 38.7846
16, 11, 3281.109000, 72.6745
16, 12, 3276.618000, 61.6387
16, 13, 3399.147000, 57.5517
16, 14, 3407.885000, 41.6169
20, 8, 782.665000, 16.2795
20, 9, 512.566700, 7.5249
20, 10, 420.958300, 13.4287
20, 11, 392.793200, 3.18305
20, 12, 479.599400, 12.9802
20, 13, 693.220500, 17.7654
20, 14, 1355.144000, 49.6477
20, 15, 1312.921000, 51.0209
20, 16, 1684.386000, 62.3243
20, 17, 1935.644000, 59.7743
20, 18, 1918.933000, 75.1092
